image_paths,cluster,dist
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__0_2400.tif,58,96
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__41000_61600.tif,31,86
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__21600_5600.tif,20,66
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__43400_21800.tif,24,87
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__41800_55400.tif,23,74
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__42400_53000.tif,46,73
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__45200_56600.tif,17,69
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__41600_46600.tif,13,55
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__41600_19800.tif,9,77
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__3600_3000.tif,23,61
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__17200_2800.tif,46,84
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__43200_59600.tif,14,83
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__40400_36200.tif,27,69
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__43800_30600.tif,78,95
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__29800_400.tif,92,114
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__43000_4600.tif,97,236
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__35000_1000.tif,27,99
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__29200_6000.tif,64,76
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__42000_29200.tif,17,65
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__44800_12000.tif,27,84
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__10800_7200.tif,96,186
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__40200_11200.tif,67,93
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__43600_23400.tif,38,97
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__44000_26200.tif,20,58
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__35000_60200.tif,35,114
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__27200_44000.tif,3,57
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__28600_57800.tif,15,73
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__26200_36800.tif,81,106
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__29600_25000.tif,88,130
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__3600_33400.tif,35,68
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__38800_58800.tif,1,70
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__11400_28600.tif,4,66
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__23800_47200.tif,60,111
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__9800_51600.tif,17,78
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__4000_36200.tif,0,73
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__19600_61600.tif,17,74
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__33600_48200.tif,1,76
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__20400_41600.tif,67,128
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__8000_48200.tif,47,146
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__31200_57200.tif,8,61
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__15600_40800.tif,45,80
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__14600_32000.tif,67,156
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__31400_800.tif,64,108
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__6400_29200.tif,72,78
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__13000_37600.tif,2,85
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__24600_29800.tif,71,114
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__35800_54000.tif,15,70
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__38000_33400.tif,19,70
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__36400_52400.tif,24,75
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__34800_26800.tif,88,170
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__200_7200.tif,11,71
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__17400_27600.tif,76,133
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__4600_11200.tif,6,54
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__19000_19800.tif,34,80
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__20200_39800.tif,80,112
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__400_18400.tif,34,110
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__32000_42400.tif,35,71
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__10400_1000.tif,58,110
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__19000_46600.tif,39,66
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__14800_21200.tif,12,66
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__35600_47200.tif,38,136
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__11200_50800.tif,23,69
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__3000_14400.tif,20,72
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__10200_22000.tif,32,87
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__26400_11800.tif,47,100
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__2000_39200.tif,0,66
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__25800_48200.tif,9,67
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__13600_10600.tif,45,90
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__39600_39200.tif,52,129
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__38600_14400.tif,13,54
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__24000_51600.tif,26,90
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__29800_36200.tif,18,71
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__3800_20600.tif,12,66
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__37200_58200.tif,8,78
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__23600_54000.tif,17,114
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__32800_29800.tif,24,85
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__9600_42400.tif,37,103
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__7200_23400.tif,23,76
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__14000_15000.tif,92,168
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__22600_26800.tif,80,133
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__15000_38600.tif,29,94
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__32200_40800.tif,0,71
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__16600_57200.tif,4,48
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__5400_61600.tif,5,68
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__18200_36200.tif,84,107
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__600_45600.tif,14,92
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__21000_16200.tif,1,65
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__33200_32000.tif,77,88
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__3200_16800.tif,10,80
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__26600_13400.tif,43,85
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__34400_37600.tif,59,90
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__3200_49600.tif,4,56
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__37800_31200.tif,1,67
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__4000_200.tif,15,70
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__11000_52400.tif,23,69
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__11800_39800.tif,40,79
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__12400_60200.tif,42,72
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__38400_49600.tif,26,79
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__1600_56600.tif,42,74
