image_paths,cluster,dist
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__1200_12200.tif,37,232
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__37400_16600.tif,7,65
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__25600_32400.tif,40,177
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__39000_28800.tif,12,92
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__37400_49800.tif,42,174
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__34800_10200.tif,12,214
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__31200_61800.tif,8,72
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__5800_11000.tif,13,116
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__32400_7600.tif,7,104
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__4800_63800.tif,1,74
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__6400_17400.tif,40,176
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__600_15800.tif,19,220
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__30200_13000.tif,9,150
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__22000_37200.tif,40,233
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__8800_42600.tif,45,171
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__5000_25200.tif,0,97
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__20400_28200.tif,23,176
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__33600_21600.tif,12,95
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__12600_6200.tif,13,108
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__18600_25400.tif,47,214
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__16200_44400.tif,35,186
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__11400_41200.tif,14,150
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__28600_61200.tif,6,147
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__12800_18800.tif,39,158
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__35000_56800.tif,38,127
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__2600_20400.tif,8,91
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__39800_43400.tif,35,273
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__34000_24000.tif,18,166
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__6600_1800.tif,31,197
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__12800_47600.tif,30,283
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__9800_7400.tif,39,239
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__15000_51200.tif,0,66
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__18800_36600.tif,47,188
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__8600_51400.tif,3,81
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__31400_46800.tif,42,189
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__33800_32400.tif,33,156
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__30400_34000.tif,36,188
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__6200_30400.tif,0,75
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__31400_19600.tif,33,162
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__22600_10200.tif,7,91
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__37200_31600.tif,20,129
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__24000_38200.tif,49,140
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__1400_35200.tif,9,72
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__18200_7800.tif,15,86
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__25000_15400.tif,15,122
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__12600_54400.tif,5,68
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__2800_33600.tif,0,84
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__39600_50600.tif,32,180
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__28000_46200.tif,32,198
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__25800_21600.tif,48,202
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__26400_27200.tif,14,95
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__14800_48600.tif,30,261
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__800_59400.tif,5,89
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__15800_65000.tif,10,18
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__21200_22400.tif,24,132
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__16400_63400.tif,6,120
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__33000_59800.tif,47,161
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__14800_17800.tif,23,147
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__200_30400.tif,0,72
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__6000_32800.tif,0,79
